language_id,language_name,latitude,longitude,lineage
here1253,Herero,-21.0231,20.5655,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Njila, Southern Njila, Kunene, Cimbebasia, Herero (R.30)"
haio1238,Hai//om-Akhoe,-19.7637,17.0299,"Khoe-Kwadi, Khoe, Khoekhoe, North Khoekhoe"
haig1237,Haigwai,-10.2741,150.256,"Austronesian, Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D'Entrecasteaux linkage, Are-Taupota linkage, Taupota linkage, Nuclear Taupota linkage, Eastern Taupota"
hoia1235,Hoia Hoia-Ukusi-Koperami,-7.8228,143.7007,"Anim, Inland Gulf of Papua, West Inland Gulf of Papua, Hoyaic"
kera1248,Keerak,12.3652,-16.6857,"Atlantic-Congo, North-Central Atlantic, Central Atlantic, Bak, Joola-Manjaku, Jola, FH-Jola, PF-Jola, Her-Ejamat"
hoya1235,Hoyahoya-Matakaia,-7.7935,143.2783,"Anim, Inland Gulf of Papua, West Inland Gulf of Papua, Hoyaic"
lama1288,Lamang,11.0243,13.7362,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Lamang-Hdi"
hibi1243,Hibito,-6.58333,282.3,Hibito-Cholon
hida1246,Hidatsa,47.33,258.0,"Siouan, Core Siouan, Missouri River Siouan"
fiji1242,Fiji Hindi,-17.8148,177.772,"Indo-European, Classical Indo-European, Indo-Iranian, Indo-Aryan, Middle-Modern Indo-Aryan, Continental Indo-Aryan, Midlands Indo-Aryan, Shaurasenic, Indo-Aryan Central zone, Western Hindi, Hindustani"
kamw1239,Kamwe,10.646,13.5136,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Higic, Nkafa-Kirya-Bana, Nkafa-Kirya"
pamo1253,Pamosu,-4.69874,145.288,"Nuclear Trans New Guinea, Madang, Croisilles, Greater Northern Adelbert, Northern Adelbert, Kumil-Tibor, Tibor, Nuclear Tibor"
